--------------------------------------------------
Configuration
--------------------------------------------------
Backend:		automatic
Runtime:		7200 seconds
Collect stats:		every 60 seconds
Java threads:		4
Salt length:		8 bytes
Password length:	8 bytes
Secret length:		8 bytes
AD length:		8 bytes
Hash length:		8 bytes
Type:			Argon2id
Version:		v13
Memory cost:		131072 KB
Time cost:		2 passes
Parallelism:		2 lanes/threads
--------------------------------------------------
[11:37:54] Pid: 12716. Estimated completion before 01:38:54

T,C,%CPU,RSS,S0C,S1C,S0U,S1U,EC,EU,OC,OU,MC,MU,CCSC,CCSU,YGC,YGCT,FGC,FGCT,GCT
0,0,0.0,37904,2560.0,2560.0,0.0,0.0,16384.0,3279.5,44032.0,0.0,4480.0,774.6,384.0,75.9,0,0.000,0,0.000,0.000
60219,758,723,436612,2560.0,2560.0,0.0,0.0,16384.0,12885.2,44032.0,0.0,4480.0,774.6,384.0,75.9,0,0.000,0,0.000,0.000
120512,1502,729,523476,2560.0,2560.0,0.0,2207.1,16384.0,2994.2,44032.0,8.0,7296.0,6819.2,896.0,750.8,1,0.012,0,0.000,0.012
180863,2254,732,449764,2560.0,2560.0,0.0,2207.1,16384.0,8573.4,44032.0,8.0,7296.0,6819.2,896.0,750.8,1,0.012,0,0.000,0.012
241241,3010,730,482580,2560.0,2560.0,0.0,2207.1,16384.0,13979.0,44032.0,8.0,7296.0,6819.2,896.0,750.8,1,0.012,0,0.000,0.012
301590,3770,731,542176,2560.0,2560.0,2032.0,0.0,16384.0,3475.0,44032.0,16.0,7296.0,6830.9,896.0,751.3,2,0.026,0,0.000,0.026
361907,4524,732,565456,2560.0,2560.0,2032.0,0.0,16384.0,8847.3,44032.0,16.0,7296.0,6830.9,896.0,751.3,2,0.026,0,0.000,0.026
422215,5286,731,475376,2560.0,2560.0,2032.0,0.0,16384.0,14354.5,44032.0,16.0,7296.0,6830.9,896.0,751.3,2,0.026,0,0.000,0.026
482599,6050,731,517888,2560.0,2560.0,0.0,2080.0,16384.0,3589.6,44032.0,24.0,7296.0,6838.3,896.0,751.3,3,0.037,0,0.000,0.037
542989,6818,732,534300,2560.0,2560.0,0.0,2080.0,16384.0,9142.5,44032.0,24.0,7296.0,6838.3,896.0,751.3,3,0.037,0,0.000,0.037
603331,7588,731,483108,2560.0,2560.0,0.0,2080.0,16384.0,14684.7,44032.0,24.0,7296.0,6838.3,896.0,751.3,3,0.037,0,0.000,0.037
663689,8362,732,397056,2560.0,2560.0,2096.0,0.0,16384.0,3879.1,44032.0,32.0,7296.0,6840.5,896.0,751.3,4,0.049,0,0.000,0.049
724023,9136,732,364324,2560.0,2560.0,2096.0,0.0,16384.0,9287.0,44032.0,32.0,7296.0,6840.5,896.0,751.3,4,0.049,0,0.000,0.049
784384,9912,731,468732,2560.0,2560.0,2096.0,0.0,16384.0,14816.6,44032.0,32.0,7296.0,6840.5,896.0,751.3,4,0.049,0,0.000,0.049
844716,10682,732,448368,2560.0,2560.0,0.0,2080.0,16384.0,4182.2,44032.0,32.0,7296.0,6841.7,896.0,751.3,5,0.064,0,0.000,0.064
905032,11454,732,538324,2560.0,2560.0,0.0,2080.0,16384.0,9571.2,44032.0,32.0,7296.0,6841.7,896.0,751.3,5,0.064,0,0.000,0.064
965323,12232,731,434156,2560.0,2560.0,0.0,2080.0,16384.0,15063.1,44032.0,32.0,7296.0,6841.7,896.0,751.3,5,0.064,0,0.000,0.064
1025628,13008,732,372716,2560.0,2560.0,2112.0,0.0,16384.0,4336.3,44032.0,40.0,7296.0,6846.3,896.0,752.3,6,0.078,0,0.000,0.078
1085993,13778,732,516060,2560.0,2560.0,2112.0,0.0,16384.0,9637.6,44032.0,40.0,7296.0,6846.3,896.0,752.3,6,0.078,0,0.000,0.078
1146312,14550,732,436160,2560.0,2560.0,2112.0,0.0,16384.0,15042.6,44032.0,40.0,7296.0,6846.3,896.0,752.3,6,0.078,0,0.000,0.078
1206625,15324,732,475104,2560.0,2560.0,0.0,1056.0,16384.0,4124.1,44032.0,1108.1,7296.0,6857.5,896.0,752.3,7,0.094,0,0.000,0.094
1266942,16098,732,450520,2560.0,2560.0,0.0,1056.0,16384.0,9521.3,44032.0,1108.1,7296.0,6857.5,896.0,752.3,7,0.094,0,0.000,0.094
1327296,16868,732,339932,2560.0,2560.0,0.0,1056.0,16384.0,14733.4,44032.0,1108.1,7296.0,6857.5,896.0,752.3,7,0.094,0,0.000,0.094
1387599,17636,732,571520,2560.0,2560.0,1056.0,0.0,16384.0,4071.9,44032.0,1116.1,7296.0,6859.1,896.0,752.3,8,0.104,0,0.000,0.104
1447944,18402,732,528500,2560.0,2560.0,1056.0,0.0,16384.0,9319.7,44032.0,1116.1,7296.0,6859.1,896.0,752.3,8,0.104,0,0.000,0.104
1508309,19168,732,368756,2560.0,2560.0,1056.0,0.0,16384.0,14535.7,44032.0,1116.1,7296.0,6859.1,896.0,752.3,8,0.104,0,0.000,0.104
1568656,19914,732,524408,3072.0,1024.0,0.0,1024.0,16384.0,3315.6,44032.0,1132.1,7296.0,6866.1,896.0,752.3,9,0.118,0,0.000,0.118
1629018,20654,732,489648,3072.0,1024.0,0.0,1024.0,16384.0,8499.4,44032.0,1132.1,7296.0,6866.1,896.0,752.3,9,0.118,0,0.000,0.118
1689349,21388,732,460948,3072.0,1024.0,0.0,1024.0,16384.0,13586.5,44032.0,1132.1,7296.0,6866.1,896.0,752.3,9,0.118,0,0.000,0.118
1749758,22122,732,452788,3072.0,3072.0,1088.0,0.0,15360.0,2467.3,44032.0,1148.1,7296.0,6868.3,896.0,752.3,10,0.129,0,0.000,0.129
1810131,22862,732,506028,3072.0,3072.0,1088.0,0.0,15360.0,7485.3,44032.0,1148.1,7296.0,6868.3,896.0,752.3,10,0.129,0,0.000,0.129
1870450,23610,732,479432,3072.0,3072.0,1088.0,0.0,15360.0,12666.1,44032.0,1148.1,7296.0,6868.3,896.0,752.3,10,0.129,0,0.000,0.129
1930802,24352,732,442568,3072.0,3072.0,0.0,960.0,15360.0,2740.3,44032.0,1156.1,7296.0,6873.3,896.0,752.3,11,0.143,0,0.000,0.143
1991156,25092,732,532684,3072.0,3072.0,0.0,960.0,15360.0,7703.5,44032.0,1156.1,7296.0,6873.3,896.0,752.3,11,0.143,0,0.000,0.143
2051547,25830,732,424128,3072.0,3072.0,0.0,960.0,15360.0,12891.9,44032.0,1156.1,7296.0,6873.3,896.0,752.3,11,0.143,0,0.000,0.143
2111967,26570,732,473280,3072.0,3072.0,1024.0,0.0,15360.0,2721.2,44032.0,1172.1,7296.0,6877.2,896.0,752.3,12,0.153,0,0.000,0.153
2172330,27314,732,456896,3072.0,3072.0,1024.0,0.0,15360.0,7957.1,44032.0,1172.1,7296.0,6877.2,896.0,752.3,12,0.153,0,0.000,0.153
2232699,28036,732,436428,3072.0,3072.0,1024.0,0.0,15360.0,12894.5,44032.0,1172.1,7296.0,6877.2,896.0,752.3,12,0.153,0,0.000,0.153
2293109,28736,733,354508,3072.0,3072.0,0.0,960.0,15360.0,2412.3,44032.0,1180.1,7296.0,6877.2,896.0,752.3,13,0.164,0,0.000,0.164
2353399,29432,732,555204,3072.0,3072.0,0.0,960.0,15360.0,7329.5,44032.0,1180.1,7296.0,6877.2,896.0,752.3,13,0.164,0,0.000,0.164
2413826,30130,733,506040,3072.0,3072.0,0.0,960.0,15360.0,12298.0,44032.0,1180.1,7296.0,6877.2,896.0,752.3,13,0.164,0,0.000,0.164
2474193,30836,732,501960,3072.0,3072.0,1024.0,0.0,15360.0,1809.2,44032.0,1196.1,7296.0,6879.8,896.0,752.3,14,0.176,0,0.000,0.176
2534541,31572,733,387260,3072.0,3072.0,1024.0,0.0,15360.0,7002.6,44032.0,1196.1,7296.0,6879.8,896.0,752.3,14,0.176,0,0.000,0.176
2594893,32280,733,465084,3072.0,3072.0,1024.0,0.0,15360.0,11831.2,44032.0,1196.1,7296.0,6879.8,896.0,752.3,14,0.176,0,0.000,0.176
2655324,32976,733,561332,3072.0,3072.0,0.0,992.0,15360.0,1364.6,44032.0,1220.1,7296.0,6881.5,896.0,752.3,15,0.185,0,0.000,0.185
2715707,33666,733,450764,3072.0,3072.0,0.0,992.0,15360.0,6111.5,44032.0,1220.1,7296.0,6881.5,896.0,752.3,15,0.185,0,0.000,0.185
2776066,34356,733,342168,3072.0,3072.0,0.0,992.0,15360.0,11012.9,44032.0,1220.1,7296.0,6881.5,896.0,752.3,15,0.185,0,0.000,0.185
2836392,35058,733,549504,3072.0,2560.0,960.0,0.0,15872.0,642.8,44032.0,1228.1,7296.0,6881.9,896.0,752.3,16,0.198,0,0.000,0.198
2896726,35820,733,434812,3072.0,2560.0,960.0,0.0,15872.0,5695.4,44032.0,1228.1,7296.0,6881.9,896.0,752.3,16,0.198,0,0.000,0.198
