--------------------------------------------------
Configuration
--------------------------------------------------
Backend:		automatic
Runtime:		7200 seconds
Collect stats:		every 60 seconds
Java threads:		4
Salt length:		4194304 bytes
Password length:	4194304 bytes
Secret length:		4194304 bytes
AD length:		4194304 bytes
Hash length:		4194304 bytes
Type:			Argon2id
Version:		v13
Memory cost:		4096 KB
Time cost:		2 passes
Parallelism:		2 lanes/threads
--------------------------------------------------
[11:39:33] Pid: 2123. Estimated completion before 01:40:33

T,C,%CPU,RSS,S0C,S1C,S0U,S1U,EC,EU,OC,OU,MC,MU,CCSC,CCSU,YGC,YGCT,FGC,FGCT,GCT
0,0,17.5,54436,87040.0,87040.0,0.0,0.0,524800.0,31488.1,1398272.0,0.0,4480.0,774.6,384.0,75.9,0,0.000,0,0.000,0.000
60758,1176,431,2242432,148992.0,144384.0,98496.4,0.0,405504.0,349552.7,1398272.0,268854.5,7296.0,6841.5,896.0,750.8,394,5.777,15,0.387,6.164
121000,2380,437,2266744,137728.0,134656.0,95701.7,0.0,426496.0,0.0,1398272.0,695619.7,7296.0,6845.0,896.0,750.8,792,11.447,26,0.626,12.073
181256,3584,439,2280548,166912.0,168448.0,0.0,72491.0,361984.0,82168.0,1398272.0,325261.6,7296.0,6846.1,896.0,751.3,1193,17.161,38,0.906,18.067
241500,4776,439,2309260,147456.0,157184.0,79349.7,0.0,384512.0,105840.7,1398272.0,1277775.0,7296.0,6847.5,896.0,751.3,1593,22.947,49,1.150,24.096
301755,5960,440,2313568,170496.0,166912.0,0.0,136758.0,360960.0,264769.1,1398272.0,207334.4,7296.0,6847.5,896.0,751.3,1995,29.015,62,1.448,30.463
362031,7140,441,2313564,143872.0,123392.0,0.0,123040.4,421376.0,103395.1,1398272.0,805849.9,7296.0,6851.0,896.0,751.3,2402,35.040,74,1.715,36.755
422228,8316,442,2326596,139776.0,112640.0,0.0,112149.9,423936.0,299146.6,1398272.0,940331.9,7296.0,6851.0,896.0,751.3,2810,41.089,86,1.983,43.072
482456,9502,441,2321972,139264.0,137728.0,0.0,61568.2,419840.0,238970.0,1398272.0,402784.9,7296.0,6851.0,896.0,751.3,3218,47.263,99,2.269,49.532
542667,10682,441,2304244,158208.0,173056.0,0.0,84811.0,352768.0,0.0,1398272.0,270549.1,7296.0,6854.1,896.0,751.3,3622,53.266,111,2.550,55.816
602891,11870,442,2317352,129024.0,132608.0,0.0,97131.0,431104.0,131217.6,1398272.0,1142034.4,7296.0,6856.0,896.0,752.3,4044,59.790,123,2.824,62.615
663155,13054,442,2309324,134656.0,132096.0,98464.4,0.0,432128.0,272020.5,1398272.0,672440.5,7296.0,6856.7,896.0,752.3,4461,66.296,136,3.110,69.406
723433,14252,442,2293248,155136.0,160256.0,0.0,91669.7,378368.0,0.0,1398272.0,538412.5,7296.0,6857.5,896.0,752.3,4872,72.747,149,3.419,76.166
783703,15452,442,2304916,164352.0,159232.0,72490.9,0.0,375296.0,0.0,1398272.0,921895.4,7296.0,6857.5,896.0,752.3,5281,79.120,161,3.713,82.833
843944,16662,443,2317760,161792.0,165888.0,0.0,109419.0,366592.0,83728.7,1398272.0,203249.2,7296.0,6857.5,896.0,752.3,5680,85.422,173,3.973,89.396
904206,17862,443,2346168,156160.0,152576.0,105259.1,0.0,390144.0,203016.1,1398272.0,1090433.6,7296.0,6857.5,896.0,752.3,6107,92.094,185,4.236,96.329
964426,19070,443,2338664,183296.0,181248.0,0.0,71157.6,330240.0,302773.3,1398272.0,744642.6,7296.0,6857.5,896.0,752.3,6524,98.513,198,4.530,103.044
1024638,20274,443,2332392,178688.0,174080.0,114880.4,0.0,346112.0,144753.0,1398272.0,991564.8,7296.0,6858.1,896.0,752.3,6927,104.805,210,4.818,109.623
1084826,21464,443,2318864,181248.0,184832.0,0.0,116277.7,327680.0,58324.5,1398272.0,916564.8,7296.0,6858.4,896.0,752.3,7360,111.460,223,5.113,116.573
1145075,22650,443,2340564,136704.0,136704.0,68426.9,0.0,425472.0,363323.8,1398272.0,516654.0,7296.0,6869.6,896.0,752.3,7789,118.138,237,5.437,123.575
1205268,23850,443,2310868,137728.0,137216.0,82080.3,0.0,423936.0,136193.1,1398272.0,935651.0,7296.0,6873.3,896.0,752.3,8201,124.622,249,5.701,130.323
1265489,25042,443,2311128,171008.0,168448.0,0.0,49312.2,357888.0,17307.3,1398272.0,745645.9,7296.0,6873.8,896.0,752.3,8618,131.256,262,5.998,137.254
1325689,26234,443,2295560,138752.0,143360.0,0.0,93035.1,412160.0,388993.7,1398272.0,1021706.9,7296.0,6873.8,896.0,752.3,9047,137.879,275,6.304,144.183
1385939,27440,443,2341948,152064.0,148992.0,0.0,123040.5,396288.0,214054.7,1398272.0,524361.7,7296.0,6874.9,896.0,752.3,9470,144.691,288,6.584,151.275
1446181,28656,443,2344308,187904.0,190976.0,0.0,67061.6,316928.0,108874.4,1398272.0,719680.0,7296.0,6878.5,896.0,752.3,9888,151.304,301,6.881,158.185
1506423,29866,443,2335816,159232.0,162816.0,0.0,98464.4,370176.0,0.0,1398272.0,1144440.4,7296.0,6878.8,896.0,752.3,10312,158.214,314,7.186,165.400
1566662,31074,443,2322216,132608.0,133632.0,105323.0,0.0,431616.0,0.0,1398272.0,610953.8,7296.0,6878.8,896.0,752.3,10739,164.829,327,7.492,172.321
1626892,32276,443,2296372,180224.0,143872.0,0.0,143488.6,343040.0,0.0,1398272.0,752787.5,7296.0,6883.8,896.0,752.3,11166,171.595,340,7.787,179.381
