--------------------------------------------------
Configuration
--------------------------------------------------
Backend:		com.kosprov.jargon2.examples.MultiThreadedHashVerifyLoop$DummyBackend
Runtime:		7200 seconds
Collect stats:		every 60 seconds
Java threads:		4
Salt length:		8 bytes
Password length:	8 bytes
Secret length:		8 bytes
AD length:		8 bytes
Hash length:		8 bytes
Type:			Argon2id
Version:		v13
Memory cost:		16 KB
Time cost:		2 passes
Parallelism:		2 lanes/threads
--------------------------------------------------
[02:18:29] Pid: 3762. Estimated completion before 04:19:29

T,C,%CPU,RSS,S0C,S1C,S0U,S1U,EC,EU,OC,OU,MC,MU,CCSC,CCSU,YGC,YGCT,FGC,FGCT,GCT
0,0,0.0,35140,512.0,512.0,0.0,0.0,4096.0,3029.8,11264.0,0.0,4480.0,774.6,384.0,75.9,0,0.000,0,0.000,0.000
60230,497987574,416,48584,512.0,512.0,96.0,0.0,4096.0,0.0,11264.0,3488.0,6144.0,5837.9,768.0,662.4,21422,28.127,0,0.000,28.127
120428,1001430960,412,50860,512.0,512.0,32.0,0.0,4096.0,0.0,11264.0,5656.1,6144.0,5842.7,768.0,662.4,43069,56.393,0,0.000,56.393
180631,1506765880,412,55276,512.0,512.0,0.0,128.0,4096.0,0.0,11264.0,7728.2,6144.0,5843.4,768.0,662.4,64803,84.560,0,0.000,84.560
240812,2013352984,412,57540,512.0,512.0,192.0,0.0,4096.0,0.0,11264.0,9416.4,6144.0,5844.5,768.0,662.4,86583,112.711,0,0.000,112.711
301014,2513954188,411,58128,512.0,512.0,0.0,96.0,4096.0,0.0,11264.0,1954.3,6144.0,5841.0,768.0,659.8,108110,140.797,1,0.007,140.804
361215,2999422208,412,59616,512.0,512.0,0.0,64.0,4096.0,0.0,11264.0,3714.4,6144.0,5841.3,768.0,659.8,128986,169.030,1,0.007,169.037
421405,3489538752,412,59616,512.0,512.0,32.0,0.0,4096.0,0.0,11264.0,5754.4,6144.0,5841.3,768.0,659.8,150061,197.112,1,0.007,197.119
481585,3977792854,411,59852,512.0,512.0,96.0,64.0,4096.0,0.0,11264.0,7762.6,6144.0,5841.6,768.0,659.8,171053,225.165,1,0.007,225.172
541809,4469641010,411,61700,512.0,512.0,32.0,0.0,4096.0,0.0,11264.0,10018.7,6144.0,5841.6,768.0,659.8,192201,253.139,1,0.007,253.147
602005,4966736770,411,61700,512.0,512.0,0.0,32.0,4096.0,0.0,11264.0,2116.2,6144.0,5843.5,768.0,659.8,213578,281.187,2,0.016,281.209
662192,5465762282,411,63200,512.0,512.0,0.0,32.0,4096.0,0.0,11264.0,4404.3,6144.0,5844.4,768.0,659.8,235035,309.540,2,0.016,309.556
722390,5958590628,411,63464,512.0,512.0,32.0,0.0,4096.0,0.0,11264.0,6660.4,6144.0,5848.8,768.0,659.8,256226,337.849,2,0.016,337.865
782607,6421560818,410,63576,512.0,512.0,0.0,96.0,4096.0,0.0,11264.0,8820.5,6144.0,5848.8,768.0,659.8,276137,366.208,2,0.016,366.224
842813,6886847610,409,63580,512.0,512.0,96.0,0.0,4096.0,0.0,11264.0,10868.6,6144.0,5848.8,768.0,659.8,296143,394.457,2,0.016,394.473
903012,7332173398,409,63616,512.0,512.0,128.0,0.0,4096.0,0.0,11264.0,2202.2,6144.0,5849.4,768.0,659.8,315291,422.074,3,0.027,422.101
963207,7780562414,409,63616,512.0,512.0,160.0,0.0,4096.0,0.0,11264.0,3738.3,6144.0,5864.4,768.0,659.8,334569,449.541,3,0.027,449.568
1023413,8225585704,409,63616,512.0,512.0,0.0,64.0,4096.0,0.0,11264.0,5642.4,6144.0,5864.9,768.0,659.8,353707,477.099,3,0.027,477.126
1083625,8645706184,408,63616,512.0,512.0,0.0,96.0,4096.0,0.0,11264.0,6986.6,6144.0,5866.5,768.0,659.8,371771,504.686,3,0.027,504.713
1143831,9073967946,408,63616,512.0,512.0,96.0,0.0,4096.0,0.0,11264.0,8386.7,6144.0,5876.5,768.0,659.8,390187,532.329,3,0.027,532.357
1204032,9508579410,407,63616,512.0,512.0,0.0,64.0,4096.0,0.0,11264.0,9882.8,6144.0,5876.5,768.0,659.8,408873,559.849,3,0.027,559.876
1264255,9948606344,407,63616,512.0,512.0,0.0,96.0,4096.0,0.0,11264.0,1135.0,6144.0,5878.4,768.0,659.8,427796,587.299,4,0.035,587.334
1324465,10394224386,407,63624,512.0,512.0,0.0,128.0,4096.0,0.0,11264.0,2519.2,6144.0,5878.4,768.0,659.8,446958,614.808,4,0.035,614.843
1384661,10829805392,407,63700,512.0,512.0,0.0,64.0,4096.0,0.0,11264.0,3887.3,6144.0,5878.7,768.0,659.8,465685,642.339,4,0.035,642.375
1444876,11258809328,407,63700,512.0,512.0,64.0,0.0,4096.0,0.0,11264.0,5927.4,6144.0,5884.9,768.0,659.8,484135,669.753,4,0.035,669.789
1505071,11702190034,407,63700,512.0,512.0,0.0,96.0,4096.0,0.0,11264.0,7455.5,6144.0,5885.3,768.0,659.8,503198,697.275,4,0.035,697.313
1565279,12150358736,407,63700,512.0,512.0,0.0,160.0,4096.0,0.0,11264.0,8903.6,6144.0,5885.9,768.0,659.8,522469,724.808,4,0.035,724.844
1625477,12603226754,407,63920,512.0,512.0,0.0,128.0,4096.0,0.0,11264.0,10463.8,6144.0,5888.1,768.0,659.8,541942,752.304,4,0.035,752.339
