--------------------------------------------------
Configuration
--------------------------------------------------
Backend:		automatic
Runtime:		7200 seconds
Collect stats:		every 60 seconds
Java threads:		4
Salt length:		8 bytes
Password length:	8 bytes
Secret length:		8 bytes
AD length:		8 bytes
Hash length:		8 bytes
Type:			Argon2id
Version:		v13
Memory cost:		16 KB
Time cost:		2 passes
Parallelism:		2 lanes/threads
--------------------------------------------------
[02:16:35] Pid: 23550. Estimated completion before 04:17:35

T,C,%CPU,RSS,S0C,S1C,S0U,S1U,EC,EU,OC,OU,MC,MU,CCSC,CCSU,YGC,YGCT,FGC,FGCT,GCT
0,0,27.0,37164,2560.0,2560.0,0.0,0.0,16384.0,3278.7,44032.0,0.0,4480.0,774.6,384.0,75.9,0,0.000,0,0.000,0.000
60225,290316,369,91780,1536.0,1536.0,1184.0,0.0,18432.0,4380.2,44032.0,3596.1,7296.0,6849.2,896.0,754.0,112,0.585,0,0.000,0.585
120418,595824,376,96044,1536.0,1536.0,1344.0,0.0,18432.0,1370.7,44032.0,6188.1,7296.0,6852.7,896.0,754.0,224,1.179,0,0.000,1.179
180613,892590,376,98364,1536.0,1536.0,1280.0,0.0,18432.0,12386.4,44032.0,8804.1,7296.0,6853.1,896.0,754.0,332,1.752,0,0.000,1.752
240804,1200564,376,100664,1536.0,1536.0,0.0,1312.0,18432.0,6165.7,44032.0,11564.1,7296.0,6854.5,896.0,754.0,445,2.333,0,0.000,2.333
300982,1518734,379,102764,1536.0,1536.0,0.0,1248.0,18432.0,12302.0,44032.0,14332.1,7296.0,6854.5,896.0,754.0,561,2.936,0,0.000,2.936
361164,1836344,381,106904,1536.0,1536.0,0.0,1216.0,18432.0,16787.8,44032.0,17148.1,7296.0,6858.0,896.0,754.0,677,3.544,0,0.000,3.544
421347,2149682,382,109000,1536.0,1536.0,1312.0,0.0,18432.0,10010.4,44032.0,19676.1,7296.0,6858.0,896.0,754.0,792,4.167,0,0.000,4.167
481531,2461414,382,111104,1536.0,1536.0,1312.0,0.0,18432.0,10381.6,44032.0,22332.1,7296.0,6858.0,896.0,754.0,906,4.772,0,0.000,4.772
541719,2776896,383,115296,1536.0,1536.0,0.0,1216.0,18432.0,17531.2,44032.0,25084.1,7296.0,6858.0,896.0,754.0,1021,5.379,0,0.000,5.379
601907,3095512,383,117384,1536.0,1536.0,1312.0,0.0,18432.0,9298.5,44032.0,27788.1,7296.0,6859.6,896.0,754.0,1138,5.995,0,0.000,5.995
662096,3414284,384,119508,1536.0,1536.0,0.0,1312.0,18432.0,2016.6,44032.0,30564.1,7296.0,6860.3,896.0,754.0,1255,6.601,0,0.000,6.601
722289,3728074,384,123676,1536.0,1536.0,0.0,1248.0,18432.0,16521.2,44032.0,33164.1,7296.0,6861.1,896.0,754.0,1369,7.198,0,0.000,7.198
782484,4037502,384,125788,1536.0,1536.0,0.0,1280.0,18432.0,734.1,44032.0,35628.1,7296.0,6861.1,896.0,754.0,1483,7.815,0,0.000,7.815
842660,4342820,384,127900,1536.0,1536.0,1312.0,0.0,18432.0,13848.4,44032.0,38172.1,7296.0,6861.1,896.0,754.0,1594,8.397,0,0.000,8.397
902845,4607902,381,130032,1536.0,1536.0,0.0,1280.0,18432.0,13242.1,44032.0,40332.1,7296.0,6861.1,896.0,754.0,1691,8.930,0,0.000,8.930
963032,4868002,379,132164,1536.0,1536.0,1248.0,0.0,18432.0,15996.5,44032.0,42428.1,7296.0,6861.1,896.0,754.0,1786,9.446,0,0.000,9.446
1023222,5137182,378,134776,1536.0,1536.0,0.0,1280.0,18432.0,5796.0,44032.0,6793.4,7296.0,6844.0,896.0,749.6,1885,9.974,1,0.040,10.014
1083406,5406010,377,133632,1536.0,1536.0,0.0,1280.0,18432.0,11844.3,44032.0,8937.4,7296.0,6844.3,896.0,749.6,1983,10.493,1,0.040,10.533
1143603,5682558,376,133660,1536.0,1536.0,1184.0,0.0,18432.0,15521.7,44032.0,11489.4,7296.0,6856.0,896.0,749.6,2084,11.008,1,0.040,11.048
1203800,5983588,376,133768,1536.0,1536.0,0.0,1312.0,18432.0,457.4,44032.0,14025.4,7296.0,6859.8,896.0,749.6,2195,11.596,1,0.040,11.636
1263983,6253198,375,135832,1536.0,1536.0,0.0,1312.0,18432.0,10548.6,44032.0,16369.4,7296.0,6860.3,896.0,749.6,2293,12.125,1,0.040,12.165
1324171,6531720,374,133776,1536.0,1536.0,0.0,1248.0,18432.0,9558.1,44032.0,18873.4,7296.0,6860.3,896.0,749.6,2395,12.686,1,0.040,12.725
1384355,6823322,375,133784,1536.0,1536.0,1376.0,0.0,18432.0,3569.6,44032.0,21377.4,7296.0,6861.4,896.0,749.6,2502,13.258,1,0.040,13.298
1444547,7115892,375,133752,1536.0,1536.0,0.0,1312.0,18432.0,2658.9,44032.0,23753.4,7296.0,6868.0,896.0,749.6,2609,13.838,1,0.040,13.878
1504732,7409044,375,133812,1536.0,1536.0,1216.0,0.0,18432.0,7270.7,44032.0,26257.4,7296.0,6868.4,896.0,749.6,2716,14.412,1,0.040,14.452
1564945,7684270,374,133800,1536.0,1536.0,0.0,1312.0,18432.0,1735.8,44032.0,28521.4,7296.0,6868.4,896.0,749.6,2817,14.956,1,0.040,14.995
1625136,7966406,374,133820,1536.0,1536.0,1248.0,0.0,18432.0,5989.6,44032.0,30897.4,7296.0,6870.3,896.0,749.6,2920,15.514,1,0.040,15.554
1685336,8246156,373,133808,1536.0,1536.0,1312.0,0.0,18432.0,12662.3,44032.0,33305.4,7296.0,6870.3,896.0,749.6,3022,16.060,1,0.040,16.099
1745520,8529388,373,133876,1536.0,1536.0,1216.0,0.0,18432.0,6256.8,44032.0,35649.4,7296.0,6870.6,896.0,749.6,3126,16.629,1,0.040,16.669
1805710,8830630,373,133860,1536.0,1536.0,1312.0,0.0,18432.0,9663.6,44032.0,38457.4,7296.0,6870.6,896.0,749.6,3236,17.205,1,0.040,17.245
1865891,9121292,373,134176,1536.0,1536.0,1280.0,0.0,18432.0,15980.9,44032.0,40881.4,7296.0,6872.3,896.0,749.6,3342,17.775,1,0.040,17.815
1926083,9402716,373,134188,1536.0,1536.0,0.0,1312.0,18432.0,15984.6,44032.0,43185.4,7296.0,6878.3,896.0,749.6,3445,18.316,1,0.040,18.355
1986265,9665880,372,134336,1536.0,1536.0,1248.0,0.0,18432.0,2651.5,44032.0,6890.5,7296.0,6879.1,896.0,749.6,3542,18.842,2,0.071,18.913
2046450,9932316,372,134324,1536.0,1536.0,0.0,1312.0,18432.0,11658.1,44032.0,9210.5,7296.0,6879.4,896.0,749.6,3639,19.341,2,0.071,19.412
2106633,10233120,372,134428,1536.0,1536.0,0.0,1216.0,18432.0,12678.2,44032.0,11890.5,7296.0,6879.9,896.0,749.6,3749,19.942,2,0.071,20.013
2166830,10526678,372,134352,1536.0,1536.0,0.0,1248.0,18432.0,1372.1,44032.0,14338.5,7296.0,6879.9,896.0,749.6,3857,20.511,2,0.071,20.581
2227027,10837580,372,134672,1536.0,1536.0,1248.0,0.0,18432.0,14302.8,44032.0,17170.5,7296.0,6879.9,896.0,749.6,3970,21.095,2,0.071,21.165
2287204,11137896,372,134620,1536.0,1536.0,1216.0,0.0,18432.0,12292.0,44032.0,19794.5,7296.0,6879.9,896.0,749.6,4080,21.677,2,0.071,21.748
2347387,11442920,372,134604,1536.0,1536.0,1280.0,0.0,18432.0,4612.9,44032.0,22698.5,7296.0,6881.0,896.0,749.6,4192,22.252,2,0.071,22.322
2407577,11753638,373,134824,1536.0,1536.0,0.0,1248.0,18432.0,15812.4,44032.0,25442.5,7296.0,6881.6,896.0,749.6,4305,22.853,2,0.071,22.923
