--------------------------------------------------
Configuration
--------------------------------------------------
Backend:		automatic
Runtime:		7200 seconds
Collect stats:		every 60 seconds
Java threads:		4
Salt length:		16 bytes
Password length:	12 bytes
Secret length:		0 bytes
AD length:		0 bytes
Hash length:		32 bytes
Type:			Argon2id
Version:		v13
Memory cost:		32768 KB
Time cost:		1 passes
Parallelism:		1 lanes/threads
--------------------------------------------------
[10:49:21] Pid: 21958. Estimated completion before 12:50:21

T,C,%CPU,RSS,S0C,S1C,S0U,S1U,EC,EU,OC,OU,MC,MU,CCSC,CCSU,YGC,YGCT,FGC,FGCT,GCT
0,0,0.0,32860,5120.0,5120.0,0.0,0.0,33280.0,3994.8,87552.0,0.0,4480.0,773.8,384.0,75.8,0,0.000,0,0.000,0.000
60284,2822,358,147788,5120.0,5120.0,0.0,0.0,33280.0,31286.6,87552.0,0.0,4480.0,773.8,384.0,75.8,0,0.000,0,0.000,0.000
120513,5730,361,171928,5120.0,5120.0,0.0,2559.1,33280.0,20782.9,87552.0,8.0,7040.0,6758.5,896.0,745.7,1,0.018,0,0.000,0.018
180723,8592,362,122136,5120.0,5120.0,2464.0,0.0,33280.0,8997.7,87552.0,16.0,7040.0,6768.4,896.0,745.7,2,0.043,0,0.000,0.043
240948,11444,362,190348,5120.0,5120.0,2464.0,0.0,33280.0,30111.4,87552.0,16.0,7040.0,6768.4,896.0,745.7,2,0.043,0,0.000,0.043
301180,14240,361,144888,5120.0,5120.0,0.0,2448.0,33280.0,17617.3,87552.0,24.0,7040.0,6771.0,896.0,746.7,3,0.060,0,0.000,0.060
361428,17056,361,146892,5120.0,5120.0,2368.0,0.0,33280.0,4622.0,87552.0,32.0,7040.0,6778.7,896.0,746.7,4,0.076,0,0.000,0.076
421632,19906,361,188904,5120.0,5120.0,2368.0,0.0,33280.0,25354.9,87552.0,32.0,7040.0,6778.7,896.0,746.7,4,0.076,0,0.000,0.076
481839,22840,361,132040,3072.0,5120.0,0.0,2352.0,33280.0,13141.1,87552.0,40.0,7296.0,6781.0,896.0,746.7,5,0.086,0,0.000,0.086
542035,25734,362,183296,3072.0,3072.0,2432.0,0.0,37376.0,902.3,87552.0,40.0,7296.0,6781.0,896.0,746.7,6,0.100,0,0.000,0.100
602264,28578,361,174580,3072.0,3072.0,2432.0,0.0,37376.0,21619.3,87552.0,40.0,7296.0,6781.0,896.0,746.7,6,0.100,0,0.000,0.100
662469,31420,361,190376,3072.0,3072.0,0.0,1568.0,37376.0,4887.6,87552.0,1104.1,7296.0,6783.2,896.0,746.7,7,0.114,0,0.000,0.114
722675,34290,361,185360,3072.0,3072.0,0.0,1568.0,37376.0,25545.8,87552.0,1104.1,7296.0,6783.2,896.0,746.7,7,0.114,0,0.000,0.114
782886,37132,361,186756,3072.0,3072.0,1568.0,0.0,37376.0,9245.3,87552.0,1128.1,7296.0,6784.0,896.0,746.7,8,0.128,0,0.000,0.128
843116,39962,361,169700,3072.0,3072.0,1568.0,0.0,37376.0,29277.7,87552.0,1128.1,7296.0,6784.0,896.0,746.7,8,0.128,0,0.000,0.128
903334,42718,361,172560,3072.0,3072.0,0.0,1504.0,37376.0,12291.9,87552.0,1128.1,7296.0,6784.0,896.0,746.7,9,0.144,0,0.000,0.144
963555,45528,361,131084,3072.0,3072.0,0.0,1504.0,37376.0,32442.9,87552.0,1128.1,7296.0,6784.0,896.0,746.7,9,0.144,0,0.000,0.144
1023798,48324,361,165960,3072.0,3072.0,1600.0,0.0,37376.0,15135.1,87552.0,1128.1,7296.0,6784.1,896.0,746.7,10,0.153,0,0.000,0.153
1084027,51158,361,136624,3072.0,3072.0,1600.0,0.0,37376.0,35569.5,87552.0,1128.1,7296.0,6784.1,896.0,746.7,10,0.153,0,0.000,0.153
1144267,53992,361,166216,3072.0,3072.0,0.0,1632.0,37376.0,18867.0,87552.0,1152.1,7296.0,6794.9,896.0,746.7,11,0.163,0,0.000,0.163
1204461,56872,361,167008,3072.0,3072.0,1568.0,0.0,37376.0,2260.1,87552.0,1176.1,7296.0,6794.9,896.0,746.7,12,0.176,0,0.000,0.176
1264672,59680,361,180508,3072.0,3072.0,1568.0,0.0,37376.0,22550.2,87552.0,1176.1,7296.0,6794.9,896.0,746.7,12,0.176,0,0.000,0.176
1324913,62456,361,172304,3072.0,3072.0,0.0,1536.0,37376.0,5216.7,87552.0,1192.1,7296.0,6796.2,896.0,746.7,13,0.186,0,0.000,0.186
1385137,65242,361,171516,3072.0,3072.0,0.0,1536.0,37376.0,25607.0,87552.0,1192.1,7296.0,6796.2,896.0,746.7,13,0.186,0,0.000,0.186
1445335,68028,361,177856,3072.0,3072.0,1472.0,0.0,37376.0,8859.8,87552.0,1208.1,7296.0,6796.5,896.0,746.7,14,0.197,0,0.000,0.197
1505587,70868,361,165424,3072.0,3072.0,1472.0,0.0,37376.0,28942.1,87552.0,1208.1,7296.0,6796.5,896.0,746.7,14,0.197,0,0.000,0.197
1565809,73676,361,190008,3072.0,3072.0,0.0,1536.0,37376.0,12151.1,87552.0,1224.1,7296.0,6798.1,896.0,746.7,15,0.208,0,0.000,0.208
1626068,76394,361,143232,3072.0,3072.0,0.0,1536.0,37376.0,31651.6,87552.0,1224.1,7296.0,6798.1,896.0,746.7,15,0.208,0,0.000,0.208
